,run,test_accuracy
0,0,0.965
1,1,0.9696666666666667
2,2,0.967
3,3,0.9676666666666667
4,4,0.962
5,5,0.9658333333333333
6,6,0.9666666666666667
7,7,0.9666666666666667
8,8,0.9658333333333333
9,9,0.9683333333333334
