,Seed,epoch,train_loss,train_accuracy,test_accuracy
0,0,0,0.6932918813493517,0.5138888888888888,0.9558333333333333
1,0,1,0.6815153426594205,0.6221527777777778,0.9558333333333333
2,0,2,0.6045006357298957,0.721875,0.9558333333333333
3,0,3,0.41248819443914625,0.8464583333333333,0.9558333333333333
4,0,4,0.2766081723901961,0.9197916666666667,0.9558333333333333
5,0,5,0.22439665297667186,0.9475694444444445,0.9558333333333333
6,0,6,0.20899529549810622,0.9509722222222222,0.9558333333333333
7,0,7,0.2027386968665653,0.9528472222222222,0.9558333333333333
8,0,8,0.2007026822037167,0.9523611111111111,0.9558333333333333
9,0,9,0.1990034090148078,0.9523611111111111,0.9558333333333333
10,0,10,0.1980364086230596,0.9525694444444445,0.9558333333333333
11,0,11,0.1964494460158878,0.9526388888888889,0.9558333333333333
12,0,12,0.19380145761701795,0.9536805555555555,0.9558333333333333
13,0,13,0.19129405862755244,0.9538194444444444,0.9558333333333333
14,0,14,0.189647409386105,0.9547222222222222,0.9558333333333333
15,0,15,0.18880251599682701,0.9547222222222222,0.9558333333333333
16,0,16,0.18781980415185293,0.9549305555555555,0.9558333333333333
17,0,17,0.1871619396739536,0.9550694444444444,0.9558333333333333
18,0,18,0.18643505699104734,0.9551388888888889,0.9558333333333333
19,0,19,0.18600813461674584,0.9551388888888889,0.9558333333333333
20,0,20,0.1854425385925505,0.9551388888888889,0.9558333333333333
21,0,21,0.18504541032844118,0.9554861111111111,0.9558333333333333
22,0,22,0.18479394280248218,0.9557638888888889,0.9558333333333333
23,0,23,0.18460972749524646,0.9559027777777778,0.9558333333333333
24,0,24,0.18425567679935032,0.9561111111111111,0.9558333333333333
25,0,25,0.18407138764858247,0.9557638888888889,0.9558333333333333
26,0,26,0.1840504632393519,0.9559722222222222,0.9558333333333333
27,0,27,0.18379805243677563,0.9559722222222222,0.9558333333333333
28,0,28,0.18400675942500433,0.9560416666666667,0.9558333333333333
29,0,29,0.18385753532250723,0.9560416666666667,0.9558333333333333
30,0,30,0.18369843227995766,0.9563194444444445,0.9558333333333333
31,0,31,0.18363908367024528,0.95625,0.9558333333333333
32,0,32,0.18336596273713643,0.9561111111111111,0.9558333333333333
33,0,33,0.1832438987493515,0.9563194444444445,0.9558333333333333
34,0,34,0.18294771790504455,0.95625,0.9558333333333333
35,0,35,0.18261735260486603,0.9561805555555556,0.9558333333333333
36,0,36,0.18228417740927802,0.95625,0.9558333333333333
37,0,37,0.182179799510373,0.9561805555555556,0.9558333333333333
38,0,38,0.18206457167863846,0.9561111111111111,0.9558333333333333
39,0,39,0.1817580869462755,0.95625,0.9558333333333333
