,run,test_accuracy
0,0,0.5541666666666667
1,1,0.5397916666666667
2,2,0.5627083333333334
3,3,0.5514583333333334
4,4,0.5583333333333333
5,5,0.5445833333333333
6,6,0.5308333333333334
7,7,0.535625
8,8,0.5514583333333334
9,9,0.5375
